Week,Weekday #,Rank,Problem,URL,Topic,Difficulty
1,1,1,Two Sum,https://leetcode.com/problems/two-sum/,Arrays & Hashing,Easy
1,1,15,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Arrays & Hashing,Easy
1,1,23,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Arrays & Hashing,Medium
1,1,24,Minimum Number Of Increments On Subarrays To Form A Target Array,https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array/,Arrays & Hashing,Medium
1,1,27,Majority Element,https://leetcode.com/problems/majority-element/,Arrays & Hashing,Easy
1,1,35,Unique Number Of Occurrences,https://leetcode.com/problems/unique-number-of-occurrences/,Arrays & Hashing,Easy
1,1,37,Minimum Area Rectangle,https://leetcode.com/problems/minimum-area-rectangle/,Arrays & Hashing,
1,1,46,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/,Arrays & Hashing,Medium
1,2,55,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Arrays & Hashing,Medium
1,2,76,Rotate Array,https://leetcode.com/problems/rotate-array/,Arrays & Hashing,Medium
1,2,78,Pascals Triangle,https://leetcode.com/problems/pascals-triangle/,Arrays & Hashing,Easy
1,2,85,Product Of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Arrays & Hashing,Medium
1,2,87,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Arrays & Hashing,Easy
1,2,92,Plus One,https://leetcode.com/problems/plus-one/,Arrays & Hashing,Easy
1,2,95,Running Sum Of 1D Array,https://leetcode.com/problems/running-sum-of-1d-array/,Arrays & Hashing,Easy
1,2,100,Max Consecutive Ones,https://leetcode.com/problems/max-consecutive-ones/,Arrays & Hashing,Easy
1,3,2,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Two Pointers,Medium
1,3,4,Merge Strings Alternately,https://leetcode.com/problems/merge-strings-alternately/,Two Pointers,Easy
1,3,5,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Two Pointers,Hard
